ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source,Last_Education_Qualification,Last_Education_Subject,Last_Education_Division,Last_Designation,Last_Level,Last_Office,Last_Organisation,Last_Field_of_Experience,Last_Category_of_Experience,Last_Start_Date,Last_End_Date
MH006800,Shri B G Deshmukh,Indian Administrative Services,Maharashtra,1951,1929-26-3,1951-07-01,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi,True,Retired after Extension/Re-Employment,Supremo,Graduate,Botany,Ordinary,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1952-1-12,1956-1-3
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,1951,1929-7-3,1951-01-07,Direct Recruitment,Male,Uttar Pradesh,Hindi,English French Hindi,True,Superannuated,Supremo,P.G.,Economics,Second,N.A.,Secretary,N.A.,N.A.,Political Affairs,Home,1987-8-1,1987-07-31
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,1951,1927-07-17,1951-01-07,Direct Recruitment,Female,Kerala,Malayalam,English Tamil,True,Retired after Extension/Re-Employment,Supremo,P.G.,N.A.,First,Chairman,Secretary Equivalent,N.A.,N.A.,Ports,Transport,1985-4-1,1985-7-1
BH005600,Shri Pp Nayyar,Indian Administrative Services,Bihar,1952,1930-7-7,1952-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,Bengali English Punjabi Urdu,True,Superannuated,Supremo,P.G.,Mathematics,First,N.A.,Junior Scale,N.A.,Cadre (AIS),General Administration,Personnel and General Administration,1955-1-12,1956-1-6
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,1952,1929-10-13,1952-01-07,Direct Recruitment,Male,Punjab,Punjabi,English French Hindi Urdu,True,Superannuated,Supremo,Ph. D.,Economics,Ordinary,Secretary,Secretary,M/o Tourism & Culture,N.A.,Tourism,Tourism,1985-2-1,1985-9-1
AP004800,Shri Gv Ramakrishna,Indian Administrative Services,Andhra Pradesh,1952,1930-27-3,1952-07-01,Direct Recruitment,Male,Karnataka,Tamil,English Hindi Kannada Telugu,True,Retired after Extension/Re-Employment,Supremo,P.G.,Chemistry,First,Assistant Collector,Junior Scale,Vizianagaram,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1954-1-7,1956-1-11
BH005400,Shri N Nagamani,Indian Administrative Services,Bihar,1952,1930-6-5,1952-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam,True,Superannuated,Supremo,P.G.,Statistics,First,Assistant Collector & A D M,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1953-1-4,1953-1-10
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,1952,1930-06-28,1952-01-07,Direct Recruitment,Male,Uttar Pradesh,Hindi,English German Urdu,True,Superannuated,Supremo,P.G.,Philosophy,First,Chairman,Secretary,N.A.,N.A.,Revenue,Finance,1987-1-1,1988-6-1
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,1952,1930-01-21,1952-01-07,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam,True,Superannuated,Supremo,P.G.,Mathematics,First,Chairman,Secretary,N.A.,N.A.,Handicrafts,Textiles,1985-5-1,1988-1-1
GJ003000,Shri M Sivagnanam,Indian Administrative Services,Gujarat,1952,1930-23-2,1952-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,English Gujarati Hindi,True,Superannuated,Supremo,P.G.,Economics,Second,Additional Collector,Junior Scale,N.A.,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1957-1-2,1958-1-12
RJ003900,Shri Br Bahadur,Indian Administrative Services,Rajasthan,1952,1930-28-2,1952-07-01,Direct Recruitment,Male,Delhi,Hindi,English,True,Retired compulsorily,Supremo,P.G.,English Lit,Second,Settlement Officer,Under Secretary,N.A.,Cadre (AIS),Settlement,Land Revenue Mgmt & District Admn,1956-1-12,1957-1-11
RJ004000,Shri Mm Kohli,Indian Administrative Services,Rajasthan,1952,1930-4-6,1952-07-01,Direct Recruitment,Male,Uttar Pradesh,Punjabi,English Hindi,True,Superannuated,Supremo,P.G.,Economics,Ordinary,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1954-1-7,1956-1-4
KL002000,Shri T Madhava Menon,Indian Administrative Services,Kerala,1952,1929-19-11,1952-07-01,Direct Recruitment,Male,Kerala,Malayalam,English,True,Superannuated,Supremo,P.G.,Economics,First,Deputy Secretary,Junior Scale,N.A.,Cadre (AIS),Home,Home,1956-1-12,1958-1-7
KN004100,Shri T R Satish Chandran,Indian Administrative Services,Karnataka,1952,1929-14-4,1952-07-01,Direct Recruitment,Male,Karnataka,Kannada,English Hindi,True,Retired after Extension/Re-Employment,Supremo,Graduate,Physics,First,Deputy Secretary,Under Secretary,N.A.,Cadre (AIS),General Administration,Personnel and General Administration,1957-1-4,1960-1-9
UP013600,Shri Sk Bhatnagar,Indian Administrative Service,Uttar Pradesh,1953,1930-6-1,1953-01-07,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,True,Superannuated,Supremo,P.G.,Economics,First,Secretary,Secretary,M/o Defence,N.A.,Defence,Defence,1984-7-1,1988-5-1
WB006000,Shri Cn Penn Anthony,Indian Administrative Service,West Bengal,1953,1931-01-28,1953-01-07,Direct Recruitment,Male,Uttar Pradesh,English,N.A.,True,Retired voluntarily,Supremo,Graduate,English Lit,First,Chairman,Additional Secretary,N.A.,N.A.,Environment & Pollution Control,Environment & Forests,1985-7-1,1986-12-1
WB006100,Shri Bc Mukherjee,Indian Administrative Service,West Bengal,1953,1930-1-4,1953-01-07,Direct Recruitment,Male,West Bengal,Bengali,English Gujarati Hindi,True,Superannuated,Supremo,P.G.,History,Second,Managing Director,Additional Secretary,N.A.,N.A.,Revenue,Finance,1986-2-1,1988-1-1
WB006200,Shri Mn Chaudhuri,Indian Administrative Service,West Bengal,1953,1931-06-20,1953-01-07,Direct Recruitment,Male,Delhi,Hindi,Bengali English,True,Superannuated,Supremo,P.G.,Public Admn,Ordinary,Secretary,Secretary Equivalent,M/o Welfare,N.A.,SC,ST Welfare,1983-9-1,1989-6-1
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,1953,1931-01-28,1953-01-07,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Tamil,True,Retired after Extension/Re-Employment,Supremo,P.G.,Physics,First,N.A.,Secretary Equivalent,Reserve Bank of India (RBI),N.A.,Institutional Finance,Finance,1990-12-1,1991-01-31
UP013500,Shri Rp Khosla,Indian Administrative Service,Uttar Pradesh,1953,1930-11-4,1953-01-07,Direct Recruitment,Male,Delhi,Punjabi,English French Hindi,True,Superannuated,Supremo,Graduate,History,Second,Secretary,Secretary,M/o Steel,N.A.,Heavy Industries,Industries,1985-2-1,1988-11-1
OR004500,Shri Li Parija,Indian Administrative Services,Odisha,1953,1930-1-11,1953-07-01,Direct Recruitment,Male,Odisha,Oriya,Bengali English Hindi,True,Retired voluntarily,Supremo,P.G.,Chemistry,Ordinary,Under Secy,Junior Scale,N.A.,Cadre (AIS),Revenue,Finance,1956-1-9,1957-1-4
AM002500,Ms. P P Trivedi,Indian Administrative Services,Assam Meghalya,1953,1930-27-2,1953-07-01,Direct Recruitment,Female,Gujarat,Gujarati,Gujarati Hindi Marathi Punjabi,True,Superannuated,Supremo,P.G.,Mathematics,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1954-1-4,1957-1-10
MH008000,Shri V T Chari,Indian Administrative Services,Maharashtra,1953,1929-22-7,1953-07-01,Direct Recruitment,Male,Maharashtra,Tamil,English Hindi Marathi,True,Retired after Extension/Re-Employment,Supremo,P.G.,Mathematics,First,Under Secy,Under Secretary,N.A.,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",1958-1-1,1969-1-8
BH007200,Shri Vinod Kumar,Indian Administrative Services,Bihar,1953,1929-14-9,1953-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,Bengali English German Urdu,True,Superannuated,Supremo,Graduate,Physics,First,Assistant Collector & A D M,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-5,1957-1-9
GJ003900,Ms. R M Shroff,Indian Administrative Services,Gujarat,1953,1931-13-4,1953-07-01,Direct Recruitment,Female,Gujarat,Gujarati,English Hindi Sanskrit,True,Superannuated,Supremo,P.G.,Economics,First,Additional Collector,Under Secretary,N.A.,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1958-1-7,1959-1-7
HP000500,Shri Kc Pandeya,Indian Administrative Services,Himachal Pradesh,1953,1930-1-9,1953-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Punjabi Sanskrit Urdu,True,Superannuated,Supremo,P.G.,History,First,Under Secy,Under Secretary,N.A.,Cadre (AIS),Public Works,Public Works,1957-1-1,1957-1-11
MH007900,Shri B K Chougule,Indian Administrative Services,Maharashtra,1953,1930-13-4,1953-07-01,Direct Recruitment,Male,Maharashtra,Marathi,English Hindi Kannada Telugu,True,Superannuated,Supremo,Graduate,Law,Second,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-7,1956-1-7
MP007400,Shri Sl Sharma,Indian Administrative Services,Madhya Pradesh,1953,1929-12-6,1953-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit,True,Superannuated,Supremo,P.G.,History,First,Collector,Under Secretary,Mandla,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1958-1-6,1961-1-5
HY002400,Shri Pp Caprihan,Indian Administrative Services,Haryana,1953,1931-7-3,1953-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Punjabi Urdu,True,Superannuated,Supremo,P.G.,Mathematics,First,Under Secy,Junior Scale,N.A.,Cadre (AIS),Public Works,Public Works,1957-1-1,1957-1-11
KL002200,Shri R Gopalaswamy,Indian Administrative Services,Kerala,1953,1931-31-1,1953-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,English Malayalam,True,Superannuated,Supremo,Graduate,Mathematics,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-8,1957-1-4
KN004600,Shri Pr Dubhashi,Indian Administrative Services,Karnataka,1953,1930-7-3,1953-07-01,Direct Recruitment,Male,Maharashtra,Marathi,French Kannada Sanskrit,True,Superannuated,Supremo,P.G.,Economics,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-4,1958-1-2
OR004400,Shri Cg Somiah,Indian Administrative Services,Odisha,1953,1931-11-3,1953-07-01,Direct Recruitment,Male,Karnataka,Kannada,English Hindi Oriya Tamil,True,Retired after Extension/Re-Employment,Supremo,Graduate,Chemistry,Ordinary,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-4,1957-1-8
BH007100,Shri Cr Vaidyanathan,Indian Administrative Services,Bihar,1953,1930-22-3,1953-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi,True,Superannuated,Supremo,P.G.,Economics,First,Under Secy,Junior Scale,N.A.,Cadre (AIS),Political Affairs,Home,1956-1-10,1957-1-5
AP005200,Shri Shravan Kumar,Indian Administrative Services,Andhra Pradesh,1953,1930-23-1,1953-07-01,Direct Recruitment,Male,Andhra Pradesh,Urdu,Hindi Marathi Telugu,True,Retired after Extension/Re-Employment,Supremo,P.G.,Economics,First,Collector,Under Secretary,Nalgonda,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1958-1-3,1960-1-7
KN004800,Shri Ab Datar,Indian Administrative Services,Karnataka,1954,1931-24-9,1954-07-01,Direct Recruitment,Male,Karnataka,Kannada,French Hindi Italian Marathi,True,Superannuated,Supremo,Graduate,Law,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-7,1959-1-5
