Subject,Experience,Count
Social Science and Liberal Arts,Land Revenue Mgmt & District Admn,2349
Social Science and Liberal Arts,Finance,1675
Social Science and Liberal Arts,Personnel and General Administration,1643
Social Science and Liberal Arts,Agriculture & Cooperation,1508
"Governance, Law and Management",Land Revenue Mgmt & District Admn,1402
Social Science and Liberal Arts,Industries,1359
Languages and Fine Arts,Land Revenue Mgmt & District Admn,1203
Social Science and Liberal Arts,Urban Development,1140
Social Science and Liberal Arts,N.Applicable,1082
Natural Sciences,Land Revenue Mgmt & District Admn,1080
Social Science and Liberal Arts,Home,1029
"Governance, Law and Management",Finance,1003
"Governance, Law and Management",Personnel and General Administration,974
Social Science and Liberal Arts,"Consumer Affairs, Food & PD",938
Languages and Fine Arts,Finance,917
Social Science and Liberal Arts,Social Justice & Empowerment,869
"Governance, Law and Management",Agriculture & Cooperation,867
Languages and Fine Arts,Personnel and General Administration,852
Social Science and Liberal Arts,Human Resource Dev,847
"Governance, Law and Management",Industries,840
Languages and Fine Arts,Agriculture & Cooperation,787
Natural Sciences,Personnel and General Administration,779
Natural Sciences,Finance,768
Social Science and Liberal Arts,Planning & Prog Implementation,761
"Governance, Law and Management",Urban Development,729
Social Science and Liberal Arts,Transport,726
Social Science and Liberal Arts,Health & Family Welfare,714
Languages and Fine Arts,Industries,711
Social Science and Liberal Arts,Rural Dev,709
Natural Sciences,Agriculture & Cooperation,694
Natural Sciences,Industries,673
"Engineering, Technology and Mathematics",Land Revenue Mgmt & District Admn,667
"Governance, Law and Management",N.Applicable,663
"Governance, Law and Management",Home,612
Languages and Fine Arts,Urban Development,609
Languages and Fine Arts,Home,588
Natural Sciences,N.Applicable,583
"Governance, Law and Management","Consumer Affairs, Food & PD",561
Languages and Fine Arts,N.Applicable,558
Social Science and Liberal Arts,Labour & Employment,548
Social Science and Liberal Arts,Energy,541
"Governance, Law and Management",Social Justice & Empowerment,508
Natural Sciences,Urban Development,506
"Governance, Law and Management",Human Resource Dev,504
"Engineering, Technology and Mathematics",Finance,488
Languages and Fine Arts,Human Resource Dev,486
Natural Sciences,Home,486
Languages and Fine Arts,Social Justice & Empowerment,482
Languages and Fine Arts,"Consumer Affairs, Food & PD",481
