,Subject,Count,Category_of_Subject
0,English Lit,545,Languages and Fine Arts
2,French,115,Languages and Fine Arts
3,Physics,1196,Natural Sciences
4,Economic Dev.,24,Social Science and Liberal Arts
5,Economics,2229,Social Science and Liberal Arts
6,Botany,232,Natural Sciences
7,Law,1141,"Governance, Law and Management"
8,Mathematics,483,"Engineering, Technology and Mathematics"
9,Chemistry,455,Natural Sciences
10,Statistics,83,"Engineering, Technology and Mathematics"
11,German,77,Languages and Fine Arts
12,Philosophy,169,Social Science and Liberal Arts
13,Political Sc.,1058,Social Science and Liberal Arts
14,Development Economics,56,Social Science and Liberal Arts
15,Civil Engg,231,"Engineering, Technology and Mathematics"
16,History,1129,Social Science and Liberal Arts
17,Accountancy,75,Finance
18,Commerce,474,Finance
19,Public Admn,355,"Governance, Law and Management"
20,English,1018,Languages and Fine Arts
21,Hindi,135,Languages and Fine Arts
22,Geology,139,Natural Sciences
23,Petrology,2,Natural Sciences
24,Sociology,158,Social Science and Liberal Arts
25,Intnl.affairs,9,"Governance, Law and Management"
26,Electrical Engg.,313,"Engineering, Technology and Mathematics"
27,Zoology,202,Natural Sciences
28,Physical Chem,11,Natural Sciences
29,Indl.mgt,16,"Governance, Law and Management"
30,Punjabi,7,Languages and Fine Arts
31,Local Self Govt,6,"Governance, Law and Management"
32,Psychology,89,Social Science and Liberal Arts
33,Business Admn.,345,"Governance, Law and Management"
34,Sanskrit,68,Languages and Fine Arts
35,Management,192,"Engineering, Technology and Mathematics"
36,Food Technology,7,"Engineering, Technology and Mathematics"
37,Chemical Engg,67,"Engineering, Technology and Mathematics"
38,Rural Economics,3,Social Science and Liberal Arts
39,Literature,1,Languages and Fine Arts
40,Manpower Plg,5,Others
41,Fine Arts,2,Languages and Fine Arts
42,Intnl Trade.,24,"Governance, Law and Management"
43,Pure Math.,8,"Engineering, Technology and Mathematics"
44,Agriculture,164,Others
45,Dev Adm,44,"Governance, Law and Management"
46,Urban Planning,18,"Governance, Law and Management"
47,Indl.economics,6,Social Science and Liberal Arts
48,Auditing,3,Finance
49,Anthropology,31,Social Science and Liberal Arts
50,Organic Chemistry,11,Natural Sciences
51,Labour Laws,15,"Governance, Law and Management"
52,Commercial Law,3,"Governance, Law and Management"
53,Oil Technology,1,"Engineering, Technology and Mathematics"
54,Social Sciences,72,Social Science and Liberal Arts
55,Physiology,8,Natural Sciences
56,Education,73,Others
57,Electronics,191,"Engineering, Technology and Mathematics"
58,Constl.law,7,"Governance, Law and Management"
59,Econometrics,8,Social Science and Liberal Arts
60,Indian History,6,Social Science and Liberal Arts
61,Indl.dev.,3,"Governance, Law and Management"
62,Mountaineering,1,Others
63,Banking,15,Finance
64,Horticulture,13,Others
65,Spanish,5,Languages and Fine Arts
66,Geography,210,Social Science and Liberal Arts
67,Nuclear Physics,14,Natural Sciences
68,Ecology,7,Others
69,Electronic.dp,1,"Engineering, Technology and Mathematics"
70,Trade,3,"Governance, Law and Management"
71,Italian,3,Languages and Fine Arts
72,Social Planning,12,"Governance, Law and Management"
73,Ayurvedic,6,Others
74,Biology,17,Natural Sciences
75,Forestry,26,Others
76,App.Mathematics,6,"Engineering, Technology and Mathematics"
77,Cooperation,15,"Governance, Law and Management"
78,Company Law,8,"Governance, Law and Management"
79,Mech.engg.,283,"Engineering, Technology and Mathematics"
80,Cost Acct,23,Finance
81,Marketing,38,"Governance, Law and Management"
82,Modern Ind.Hist,25,Social Science and Liberal Arts
83,Hydrology,2,Others
84,Land Laws,2,"Governance, Law and Management"
85,Engineeriing,23,"Engineering, Technology and Mathematics"
86,Russian,32,Languages and Fine Arts
87,Persian,5,Languages and Fine Arts
88,Defence Studies,11,"Governance, Law and Management"
89,Intnl.law,16,"Governance, Law and Management"
90,Education Plg.,1,Others
91,Metallurgy Engg,12,"Engineering, Technology and Mathematics"
92,Telecomm Engg,2,"Engineering, Technology and Mathematics"
93,Arabic,4,Languages and Fine Arts
94,Agrl.Economics,13,Social Science and Liberal Arts
95,Energy Planning,6,"Governance, Law and Management"
96,Fiscal Studies,1,Others
97,"Demography,",5,"Governance, Law and Management"
98,Development,11,"Governance, Law and Management"
99,Yoga,3,Others
100,Dev Studies,30,Social Science and Liberal Arts
101,Intnl Relations,26,"Governance, Law and Management"
102,Metallurgy,8,"Engineering, Technology and Mathematics"
103,Air&space Law,1,"Governance, Law and Management"
104,Technology,12,"Engineering, Technology and Mathematics"
105,Social Work,25,Social Science and Liberal Arts
106,Mining.Engg.,14,"Engineering, Technology and Mathematics"
107,Office Mgt.,1,"Governance, Law and Management"
108,System Mgt,5,"Governance, Law and Management"
