Subject,Experience,Count
Social Science and Liberal Arts,Land Revenue Mgmt & District Admn,2649
"Governance, Law and Management",Land Revenue Mgmt & District Admn,1742
"Engineering, Technology and Mathematics",Land Revenue Mgmt & District Admn,1406
Social Science and Liberal Arts,Personnel and General Administration,1293
Natural Sciences,Land Revenue Mgmt & District Admn,1282
Social Science and Liberal Arts,Finance,1195
Languages and Fine Arts,Land Revenue Mgmt & District Admn,1175
Social Science and Liberal Arts,Industries,861
"Governance, Law and Management",Personnel and General Administration,853
Social Science and Liberal Arts,Agriculture & Cooperation,833
"Governance, Law and Management",Finance,806
Social Science and Liberal Arts,Urban Development,719
Social Science and Liberal Arts,Home,707
Natural Sciences,Personnel and General Administration,676
Natural Sciences,Finance,630
"Engineering, Technology and Mathematics",Personnel and General Administration,627
"Governance, Law and Management",Industries,626
Social Science and Liberal Arts,Human Resource Dev,601
"Engineering, Technology and Mathematics",Finance,598
"Governance, Law and Management",Urban Development,587
Languages and Fine Arts,Personnel and General Administration,578
"Governance, Law and Management",Agriculture & Cooperation,577
Languages and Fine Arts,Finance,560
"Engineering, Technology and Mathematics",Urban Development,522
Social Science and Liberal Arts,Social Justice & Empowerment,516
Social Science and Liberal Arts,Rural Dev,502
Social Science and Liberal Arts,Health & Family Welfare,494
Natural Sciences,Industries,489
Natural Sciences,Agriculture & Cooperation,488
Social Science and Liberal Arts,"Consumer Affairs, Food & PD",483
Social Science and Liberal Arts,Transport,482
"Governance, Law and Management",Home,470
"Governance, Law and Management",Human Resource Dev,445
"Engineering, Technology and Mathematics",Industries,441
Social Science and Liberal Arts,Energy,421
"Engineering, Technology and Mathematics",Agriculture & Cooperation,408
Natural Sciences,Urban Development,406
Languages and Fine Arts,Agriculture & Cooperation,404
Languages and Fine Arts,Industries,391
Social Science and Liberal Arts,Planning & Prog Implementation,389
"Governance, Law and Management",Rural Dev,377
Natural Sciences,Home,374
Natural Sciences,Human Resource Dev,366
"Engineering, Technology and Mathematics",Rural Dev,364
Social Science and Liberal Arts,Commerce,364
Languages and Fine Arts,Home,363
"Governance, Law and Management",Transport,359
"Governance, Law and Management",Social Justice & Empowerment,353
Finance,Land Revenue Mgmt & District Admn,353
"Engineering, Technology and Mathematics",Human Resource Dev,348
"Governance, Law and Management",Health & Family Welfare,337
Languages and Fine Arts,Urban Development,332
"Engineering, Technology and Mathematics",Home,324
"Governance, Law and Management","Consumer Affairs, Food & PD",315
Social Science and Liberal Arts,Labour & Employment,313
Languages and Fine Arts,Human Resource Dev,295
Natural Sciences,Social Justice & Empowerment,293
"Governance, Law and Management",Energy,289
Natural Sciences,Rural Dev,288
"Engineering, Technology and Mathematics",Energy,288
Social Science and Liberal Arts,Environment & Forests,274
Natural Sciences,"Consumer Affairs, Food & PD",270
Social Science and Liberal Arts,Water Resources,270
"Engineering, Technology and Mathematics",Health & Family Welfare,269
"Engineering, Technology and Mathematics",Transport,269
Natural Sciences,Transport,263
Natural Sciences,Health & Family Welfare,259
"Engineering, Technology and Mathematics",Social Justice & Empowerment,257
Natural Sciences,Energy,251
"Governance, Law and Management",Planning & Prog Implementation,249
Languages and Fine Arts,Social Justice & Empowerment,247
Others,Land Revenue Mgmt & District Admn,245
"Governance, Law and Management",Commerce,239
"Governance, Law and Management",Labour & Employment,237
Social Science and Liberal Arts,Local Self Govt,237
Social Science and Liberal Arts,Law and Justice,236
"Engineering, Technology and Mathematics","Consumer Affairs, Food & PD",234
Social Science and Liberal Arts,Tourism,230
Social Science and Liberal Arts,Staff Officers,227
Languages and Fine Arts,Health & Family Welfare,226
Languages and Fine Arts,"Consumer Affairs, Food & PD",223
Social Science and Liberal Arts,Protocol,222
Social Science and Liberal Arts,Mines & Minerals,213
Languages and Fine Arts,Planning & Prog Implementation,209
"Governance, Law and Management",Staff Officers,208
Social Science and Liberal Arts,Textiles,207
Languages and Fine Arts,Rural Dev,206
Natural Sciences,Planning & Prog Implementation,204
Social Science and Liberal Arts,Information & Broadcasting,202
Languages and Fine Arts,Transport,200
Natural Sciences,Commerce,200
"Governance, Law and Management",Water Resources,199
Medical,Land Revenue Mgmt & District Admn,199
Social Science and Liberal Arts,Defence,199
"Engineering, Technology and Mathematics",Planning & Prog Implementation,199
"Governance, Law and Management",Environment & Forests,195
Natural Sciences,Water Resources,190
"Engineering, Technology and Mathematics",Water Resources,190
"Engineering, Technology and Mathematics",Staff Officers,189
"Engineering, Technology and Mathematics",Local Self Govt,189
Social Science and Liberal Arts,Women & Child Dev,185
Natural Sciences,Labour & Employment,176
"Governance, Law and Management",Law and Justice,172
Natural Sciences,Environment & Forests,171
"Engineering, Technology and Mathematics",Commerce,171
"Governance, Law and Management",Tourism,167
Social Science and Liberal Arts,Youth Affairs & Sports,165
"Engineering, Technology and Mathematics",Communications & Information Technology,164
Languages and Fine Arts,Labour & Employment,162
Social Science and Liberal Arts,Communications & Information Technology,162
"Governance, Law and Management",Information & Broadcasting,161
"Governance, Law and Management",Local Self Govt,159
"Engineering, Technology and Mathematics",Labour & Employment,159
Languages and Fine Arts,Commerce,158
Finance,Finance,154
"Engineering, Technology and Mathematics",Environment & Forests,151
"Governance, Law and Management",Protocol,147
Languages and Fine Arts,Environment & Forests,143
Finance,Personnel and General Administration,142
Natural Sciences,Law and Justice,140
Languages and Fine Arts,Energy,140
Social Science and Liberal Arts,Science & Technology,139
Social Science and Liberal Arts,Culture,138
"Governance, Law and Management",Defence,135
Social Science and Liberal Arts,Public Works,134
"Governance, Law and Management",Textiles,133
Natural Sciences,Defence,130
Languages and Fine Arts,Water Resources,128
"Governance, Law and Management",Women & Child Dev,126
"Engineering, Technology and Mathematics",Tourism,125
Natural Sciences,Local Self Govt,124
Natural Sciences,Staff Officers,124
"Governance, Law and Management",Mines & Minerals,123
Social Science and Liberal Arts,ST Welfare,121
"Governance, Law and Management",Science & Technology,120
"Engineering, Technology and Mathematics",Law and Justice,120
Natural Sciences,Tourism,120
Languages and Fine Arts,Law and Justice,119
Natural Sciences,Mines & Minerals,117
"Governance, Law and Management",Communications & Information Technology,116
Natural Sciences,Science & Technology,116
Finance,Industries,114
Languages and Fine Arts,Women & Child Dev,114
Natural Sciences,Textiles,112
"Governance, Law and Management",Youth Affairs & Sports,110
Languages and Fine Arts,Information & Broadcasting,108
Natural Sciences,Information & Broadcasting,107
Others,Personnel and General Administration,107
Languages and Fine Arts,Defence,107
"Engineering, Technology and Mathematics",Science & Technology,104
Finance,Urban Development,102
Languages and Fine Arts,Textiles,101
Languages and Fine Arts,Tourism,101
"Governance, Law and Management",Public Works,101
Finance,Agriculture & Cooperation,99
Others,Finance,99
Languages and Fine Arts,Mines & Minerals,99
"Engineering, Technology and Mathematics",Mines & Minerals,98
Natural Sciences,Protocol,97
Natural Sciences,Youth Affairs & Sports,96
Languages and Fine Arts,Protocol,95
"Engineering, Technology and Mathematics",Information & Broadcasting,95
Natural Sciences,Communications & Information Technology,95
Languages and Fine Arts,Local Self Govt,94
